key,is_bi,lstm_layers,lstm_hidden_dim,out_layers,special_tokens,tag_mode,loss,accuracy,f1,explained_variance,alpha
bi_1_16_1_#ow_first,True,1,16,1,#ow,first,1.5685677131017048,0.5789031386375427,0.4375528495479474,-0.03885327070859046,18.44573019238973
bi_1_16_1_#ow_last,True,1,16,1,#ow,last,1.6308389107386272,0.527211606502533,0.40651617549629065,-0.15657414083498966,19.824413528394192
bi_1_16_1_#ow_terminal,True,1,16,1,#ow,terminal,2.7304513454437256,0.36751416325569153,0.24823854172946136,-0.2721481653543456,24.279886172205995
bi_1_16_1_bow_all,True,1,16,1,bow,all,3.2342971165974936,0.46194446086883545,0.2723309886100736,-0.16417289828898185,30.741544868692916
bi_1_16_1_bow_first,True,1,16,1,bow,first,1.6829011837641399,0.5253204107284546,0.374963478364815,-0.03801474601100119,18.771388050911362
bi_1_16_1_bow_last,True,1,16,1,bow,last,1.5995471477508545,0.5814246535301208,0.4495640426880012,0.0633736842760978,26.996791986879444
bi_1_16_1_bow_terminal,True,1,16,1,bow,terminal,2.5932772159576416,0.4951670467853546,0.31095678208116834,-0.03394479065667899,33.922102368718136
bi_1_16_1_eow_all,True,1,16,1,eow,all,3.2324209213256836,0.45822224020957947,0.25651177066499004,-0.26651642175093704,28.584453456372184
bi_1_16_1_eow_first,True,1,16,1,eow,first,1.5784581104914348,0.5738600492477417,0.44669249026683194,0.01859205722381574,22.43377709915974
bi_1_16_1_eow_last,True,1,16,1,eow,last,1.6823863585789998,0.5064088702201843,0.3828210740572034,-0.18184342081044114,19.891040443197838
bi_1_16_1_eow_terminal,True,1,16,1,eow,terminal,2.5502071380615234,0.45860472321510315,0.3206487041552752,-0.15387431086039194,33.22055420757675
bi_1_16_1__all,True,1,16,1,,all,3.0736708641052246,0.4971679151058197,0.2605220214639364,-0.21968463927472007,27.150404964945093
bi_1_16_1__first,True,1,16,1,,first,1.707452615102132,0.6001260876655579,0.49654472418333384,0.055493966688709866,36.37383004253637
bi_1_16_1__last,True,1,16,1,,last,1.8792746861775715,0.5719688534736633,0.39029746812997357,0.10099374814172755,43.34539911840005
bi_1_16_1__terminal,True,1,16,1,,terminal,2.7147980531056723,0.45757222175598145,0.29075861810966347,-0.2712240359162441,34.13732384114133
bi_1_32_1_#ow_all,True,1,32,1,#ow,all,3.4716715017954507,0.4582362771034241,0.27748450606650343,-0.24480127493165482,31.814923488012813
bi_1_32_1_#ow_first,True,1,32,1,#ow,first,1.4947766462961833,0.5778524875640869,0.48449825845868166,0.032639585193160126,17.966643367040888
bi_1_32_1_#ow_last,True,1,32,1,#ow,last,1.5124906301498413,0.570497989654541,0.45833797259030723,-0.028719493147515426,19.546269816301034
bi_1_32_1_#ow_terminal,True,1,32,1,#ow,terminal,2.585275093714396,0.42141205072402954,0.30043096081016407,-0.20121802061380611,25.82251652828506
bi_1_32_1_bow_all,True,1,32,1,bow,all,3.1869417826334634,0.48088890314102173,0.2887068609818195,-0.26204167042489357,29.963157842626483
